lam(nm)   eps1            eps2	
587	-8.46368	1.60909
588	-8.53574	1.59922
589	-8.60847	1.59013
590	-8.6812		1.58105
591	-8.75392	1.57196
592	-8.82723	1.56345
593	-8.90069	1.5551
594	-8.97415	1.54674
595	-9.0478		1.53861
596	-9.12172	1.53081
597	-9.19563	1.523
598	-9.26955	1.5152
599	-9.34371	1.50776
600	-9.41788	1.50033
601	-9.49205	1.4929
602	-9.56628	1.48557
603	-9.64058	1.47832
604	-9.71487	1.47106
605	-9.78917	1.46381
606	-9.86331	1.45657
607	-9.93745	1.44932
608	-10.01159	1.44208
609	-10.08561	1.43474
610	-10.1595	1.4273
611	-10.23339	1.41986
612	-10.30728	1.41242
613	-10.38069	1.40464
614	-10.45405	1.39682
615	-10.5274	1.389
616	-10.60055	1.38105
617	-10.67309	1.37269
618	-10.74563	1.36433
619	-10.81817	1.35597
620	-10.89032	1.34733
621	-10.96218	1.33847
622	-11.03404	1.32961
623	-11.1059	1.32075
624	-11.17719	1.31163
625	-11.24838	1.30246
626	-11.31956	1.29329
627	-11.39069	1.28411
628	-11.46123	1.27483
629	-11.53177	1.26554
630	-11.6023	1.25626
631	-11.67271	1.24699
632	-11.74279	1.23776
633	-11.81288	1.22853
634	-11.88296	1.2193
635	-11.95285	1.21017
636	-12.02249	1.20119
637	-12.09212	1.19221
638	-12.16175	1.18323
639	-12.23125	1.17448
640	-12.30062	1.16592
641	-12.36998	1.15737
642	-12.43935	1.14881
643	-12.50861	1.1406
644	-12.57778	1.13266
645	-12.64695	1.12472
646	-12.71612	1.11678
647	-12.78519	1.1093
648	-12.85418	1.10216
649	-12.92318	1.09502
650	-12.99217	1.08788
651	-13.06119	1.08124
652	-13.13025	1.07508
653	-13.1993	1.06891
654	-13.26836	1.06275
655	-13.33742	1.05707
656	-13.4065	1.05207
657	-13.47558	1.04707
658	-13.54466	1.04207
659	-13.61381	1.03741
660	-13.68314	1.03372
661	-13.75248	1.03003
662	-13.82181	1.02634
663	-13.89116	1.02272
664	-13.96072	1.0203
665	-14.03029	1.01788
666	-14.09985	1.01546
667	-14.16942	1.01304
668	-14.23913	1.01153
669	-14.30888	1.01025
670	-14.37863	1.00897
671	-14.44838	1.0077
672	-14.51827	1.0069
673	-14.5883	1.00664
674	-14.65834	1.00638
675	-14.72837	1.00612
676	-14.79843	1.00595
677	-14.86866	1.00657
678	-14.93889	1.00719
679	-15.00912	1.00781
680	-15.07936	1.00844
681	-15.1498	1.00957
682	-15.22034	1.01095
683	-15.29088	1.01232
684	-15.36143	1.0137
685	-15.43202	1.0152
686	-15.50281	1.0172
687	-15.57359	1.0192
688	-15.64438	1.0212
689	-15.71517	1.02321
690	-15.7861	1.02552
691	-15.85711	1.02802
692	-15.92811	1.03051
693	-15.99911	1.033
694	-16.07013	1.0355
695	-16.14144	1.03836
696	-16.21276	1.04121
697	-16.28408	1.04407
698	-16.35539	1.04692
699	-16.4268	1.04986
700	-16.49838	1.05294
701	-16.56996	1.05603
702	-16.64153	1.05911
703	-16.71311	1.06219
704	-16.78481	1.06534
705	-16.85658	1.06853
706	-16.92835	1.07172
707	-17.00013	1.07491
708	-17.0719	1.0781
709	-17.14398	1.08136
710	-17.21612	1.08464
711	-17.28826	1.08792
712	-17.36041	1.09119
713	-17.43255	1.09447
714	-17.50493	1.09786
