 ,Area,Major,Minor,Angle
107,158.562,15.049,13.416,76.727
108,405.215,23.923,21.567,117.266
109,270.877,19.649,17.552,52.076
110,425.035,26.219,20.640,71.482
111,565.980,30.327,23.762,175.562
112,251.057,19.243,16.612,17.425
113,513.126,28.379,23.021,112.621
114,380.990,23.899,20.297,177.401
115,425.035,24.875,21.755,91.893
116,543.957,28.900,23.965,97.436
117,321.529,22.078,18.543,146.962
118,458.069,26.915,21.669,58.748
119,682.699,30.626,28.383,78.733
120,530.744,27.627,24.460,54.055
121,552.766,27.039,26.029,137.047
122,576.991,29.796,24.656,99.026
123,559.373,29.489,24.152,20.100
124,482.294,26.632,23.058,157.597
125,497.710,26.433,23.974,12.800
126,101.304,12.001,10.748,149.374
127,585.800,33.316,22.388,109.331
128,702.520,38.485,23.242,133.619
129,495.508,27.477,22.961,76.307
130,299.507,20.023,19.046,107.723
131,242.248,18.711,16.485,158.563
132,464.676,25.338,23.350,75.788
133,590.205,28.771,26.119,26.795
134,480.092,26.300,23.243,86.251
135,312.720,21.637,18.402,62.911
136,376.586,22.572,21.242,116.440
137,275.282,19.636,17.850,3.085
138,420.631,25.518,20.987,112.923
139,275.282,19.703,17.789,84.293
140,380.990,23.157,20.948,106.111
141,383.193,22.894,21.311,72.449
142,422.833,24.022,22.412,68.863
143,138.742,14.039,12.583,139.259
144,665.081,34.043,24.875,44.812
145,561.575,27.578,25.927,95.645
146,334.743,21.304,20.006,72.708
147,248.855,18.794,16.860,168.077
148,268.675,22.404,15.269,24.257
149,517.530,28.948,22.763,1.415
150,460.272,25.150,23.302,46.037
151,235.641,18.643,16.093,140.854
152,559.373,28.901,24.643,103.757
153,418.429,26.356,20.214,158.598
154,607.823,30.674,25.230,62.992
155,334.743,22.134,19.256,112.360
156,209.214,18.650,14.283,118.817
157,473.485,27.129,22.222,173.113
158,625.441,30.437,26.163,60.621
159,257.664,18.703,17.541,121.467
160,449.260,26.046,21.961,168.543
161,632.047,28.797,27.945,172.548
162,627.643,32.196,24.821,77.953
163,554.969,28.433,24.852,175.573
164,607.823,31.997,24.187,173.924
165,288.496,20.497,17.921,90.762
166,301.709,21.689,17.712,46.114
167,328.136,21.316,19.600,57.243
168,392.002,23.152,21.558,70.751
169,471.283,25.561,23.476,144.116
170,510.923,29.196,22.281,4.702
171,471.283,26.218,22.887,75.717
172,306.114,20.289,19.210,140.420
173,632.047,29.322,27.446,140.848
174,583.598,27.893,26.640,88.222
