 ,Area,X,Y,Major,Minor,Angle
41,301.627,513.175,106.395,19.979,19.222,68.027
42,304.565,264.686,107.795,21.975,17.647,100.885
43,534.702,385.094,111.258,27.032,25.185,171.651
44,382.909,323.347,111.269,23.161,21.050,16.372
45,348.634,561.351,111.708,22.532,19.701,98.624
46,386.827,227.692,115.667,23.103,21.319,105.820
47,338.841,657.266,116.904,21.958,19.648,165.777
48,563.102,702.765,123.968,28.053,25.558,15.406
49,100.869,971.465,119.007,12.767,10.060,170.600
50,520.992,820.550,128.047,26.065,25.449,34.568
51,441.668,437.490,131.923,24.833,22.645,118.677
52,431.875,84.508,132.231,24.286,22.642,54.470
53,299.668,607.967,132.076,22.506,16.953,52.491
54,337.861,776.949,134.145,21.607,19.909,158.593
55,283.020,43.226,138.196,19.078,18.888,55.700
56,241.889,862.300,140.806,18.790,16.391,104.530
57,403.475,170.468,144.006,23.895,21.499,124.171
58,539.599,10.545,148.382,30.225,22.731,100.178
59,491.613,486.193,147.273,28.052,22.314,67.120
60,455.378,125.797,148.926,25.543,22.699,57.158
61,569.957,347.535,150.295,31.227,23.239,7.524
62,166.482,301.147,148.306,14.604,14.514,34.169
63,415.227,552.722,162.488,24.705,21.400,40.655
64,379.972,862.090,162.764,24.910,19.422,161.143
65,504.344,963.499,164.449,28.360,22.643,127.714
66,291.834,796.455,168.391,20.818,17.849,93.303
67,447.544,747.036,171.633,27.953,20.385,82.268
68,378.013,97.804,174.354,23.924,20.118,21.157
69,457.337,314.128,179.506,26.742,21.775,99.525
70,489.654,397.229,178.540,26.878,23.196,65.593
71,285.958,460.889,175.481,19.877,18.318,132.645
72,199.779,56.839,174.698,16.470,15.444,53.099
73,505.323,912.216,187.560,26.717,24.082,77.123
74,418.165,139.901,192.347,25.603,20.795,80.954
75,308.482,951.560,194.236,21.756,18.053,71.804
76,327.089,492.699,197.244,21.450,19.415,92.895
77,382.909,350.284,199.240,22.698,21.479,39.895
78,344.716,525.011,198.316,21.866,20.073,133.350
79,450.482,768.769,207.317,25.766,22.261,115.898
80,322.192,852.640,205.041,20.606,19.909,11.254
81,202.717,289.888,205.591,16.716,15.441,69.016
82,597.378,86.663,212.151,27.975,27.189,90.081
83,409.351,192.629,210.380,27.028,19.284,112.159
84,347.654,727.803,216.989,22.768,19.442,84.089
85,287.917,387.327,216.605,19.790,18.524,68.015
86,242.868,46.284,216.631,18.555,16.666,81.402
87,275.186,806.251,217.566,19.973,17.543,86.679
88,105.765,976.085,217.831,12.734,10.575,136.377
89,291.834,474.135,223.533,20.296,18.308,124.694
90,248.744,544.993,222.134,18.550,17.073,14.821
91,338.841,881.599,225.148,22.561,19.123,87.133
92,434.813,264.823,227.664,25.868,21.402,88.070
93,703.143,314.930,229.449,32.729,27.354,29.355
94,399.558,647.679,233.822,25.073,20.290,171.749
95,300.648,595.902,233.467,20.856,18.354,8.272
96,373.116,159.501,238.526,22.586,21.033,174.132
97,40.152,951.621,231.820,7.893,6.477,18.410
98,325.130,920.176,239.632,21.986,18.829,19.947
99,550.371,30.676,250.251,28.655,24.455,26.066
100,613.047,504.856,257.315,31.588,24.710,76.911
101,540.578,376.880,258.287,27.436,25.087,50.237
102,358.427,78.646,256.788,23.388,19.513,62.050
103,415.227,987.604,258.710,26.870,19.675,100.473
104,476.923,453.675,260.567,26.928,22.551,21.549
105,575.833,832.940,261.120,30.456,24.073,159.058
106,261.475,343.530,262.631,19.459,17.109,87.897
107,456.358,122.653,265.875,25.162,23.092,162.246
108,276.165,782.602,265.978,19.976,17.603,32.497
109,382.909,603.779,268.945,22.798,21.385,115.012
110,320.234,306.644,269.808,21.514,18.952,122.430
111,603.254,550.373,278.192,31.147,24.660,53.497
112,485.737,195.308,281.613,28.159,21.963,77.155
113,121.434,54.795,277.096,12.512,12.357,28.323
114,384.868,269.883,287.292,22.485,21.793,86.741
115,457.337,958.254,287.633,28.111,20.714,31.947
116,230.137,10.281,290.064,18.744,15.633,4.776
117,166.482,649.364,291.117,15.339,13.819,70.081
118,615.985,436.993,302.090,30.333,25.856,100.681
119,292.813,363.612,300.559,20.360,18.312,103.141
120,283.020,82.567,301.203,20.803,17.322,54.757
121,195.862,750.384,298.894,16.248,15.349,129.673
122,320.234,397.140,307.001,27.395,14.883,82.746
123,203.696,986.270,301.742,16.408,15.807,22.138
124,535.682,708.867,310.580,28.268,24.128,71.580
125,465.171,116.074,309.110,27.983,21.165,137.762
126,171.379,153.425,304.817,15.192,14.364,108.280
127,519.033,310.710,311.220,28.383,23.283,2.847
128,619.902,801.289,312.636,31.600,24.977,9.090
129,405.434,44.568,313.103,23.892,21.606,61.186
130,354.510,560.245,313.370,25.837,17.470,52.432
131,456.358,850.098,319.059,25.069,23.178,63.545
132,514.137,189.765,327.468,29.808,21.961,68.092
133,62.676,365.920,325.207,9.316,8.566,61.708
134,488.675,151.231,339.515,29.119,21.367,104.368
135,134.165,953.046,333.065,13.986,12.214,172.368
136,523.930,256.875,344.929,26.649,25.032,140.099
137,201.737,749.339,341.527,16.237,15.819,6.926
138,693.350,571.930,353.086,31.294,28.210,84.509
139,714.895,454.320,354.528,32.429,28.068,167.146
140,679.640,980.862,361.213,33.012,26.213,81.768
141,405.434,399.289,356.543,23.377,22.082,20.210
142,430.896,804.117,358.208,25.421,21.582,101.591
143,696.288,348.042,368.590,40.720,21.771,113.741
144,366.261,295.737,359.164,23.700,19.677,22.339
145,419.144,851.729,363.051,25.113,21.251,123.930
146,324.151,16.071,363.215,22.445,18.388,68.365
147,190.965,66.768,360.278,17.258,14.089,57.633
148,682.578,217.328,372.662,32.539,26.709,99.748
149,532.744,715.268,369.723,27.221,24.919,167.051
150,265.393,761.055,370.649,19.252,17.552,21.086
151,383.889,108.177,381.976,24.933,19.604,88.213
152,420.123,626.107,382.905,27.336,19.568,157.610
153,248.744,490.265,385.671,20.016,15.823,85.693
154,641.447,159.104,394.992,32.923,24.807,33.061
155,151.793,828.586,386.841,14.291,13.523,63.785
156,507.282,922.269,396.715,27.793,23.239,49.553
157,392.703,519.443,397.122,23.376,21.390,91.276
158,220.344,554.763,394.254,17.053,16.452,104.380
159,386.827,707.109,396.848,22.997,21.416,177.012
160,507.282,422.019,403.342,28.537,22.634,79.129
161,293.792,325.661,401.105,21.338,17.530,70.168
162,482.799,35.410,404.944,26.308,23.366,42.097
163,387.806,85.920,405.239,25.622,19.271,89.060
164,405.434,743.496,409.474,23.727,21.756,43.579
165,326.110,791.408,410.789,21.979,18.891,166.352
166,360.385,865.147,415.952,23.051,19.906,106.224
167,614.026,466.230,421.479,30.490,25.641,179.823
168,276.165,191.540,420.398,20.255,17.360,68.870
169,281.061,377.181,420.906,21.107,16.954,69.214
170,297.710,976.716,424.470,21.998,17.232,47.368
171,264.413,9.551,424.538,19.357,17.392,106.090
172,505.323,505.797,428.761,27.189,23.664,51.361
173,236.013,223.697,428.441,20.525,14.640,64.313
174,400.537,668.666,430.792,23.312,21.877,63.958
175,273.227,571.182,429.900,19.918,17.466,67.381
176,565.061,828.217,442.241,28.352,25.376,165.571
177,325.130,767.918,442.965,22.432,18.455,51.036
178,629.695,722.934,448.627,29.369,27.299,31.296
179,434.813,96.187,447.275,24.091,22.981,43.446
180,547.433,49.206,452.345,28.902,24.116,96.478
181,460.275,936.995,454.454,26.806,21.862,100.935
182,273.227,434.596,451.901,19.865,17.512,63.341
183,504.344,561.444,455.738,26.410,24.315,101.913
184,267.351,896.837,455.646,19.554,17.408,173.527
185,305.544,212.212,458.372,20.090,19.364,21.338
186,670.826,262.346,467.106,31.438,27.168,12.770
187,299.668,396.516,465.636,21.267,17.941,45.548
188,321.213,677.728,471.213,22.829,17.915,85.853
189,309.461,770.488,475.237,22.515,17.500,80.892
190,381.930,354.962,475.802,23.839,20.399,37.942
191,674.743,466.586,481.673,33.744,25.459,41.903
192,636.550,603.795,483.808,33.634,24.097,98.713
193,283.999,421.669,484.341,19.767,18.293,96.479
194,241.889,904.645,484.866,19.714,15.623,111.955
195,506.302,184.968,493.409,26.326,24.487,89.589
196,381.930,978.171,492.750,23.439,20.747,108.148
197,293.792,564.187,492.432,21.851,17.119,79.787
198,454.399,146.162,498.020,25.005,23.138,169.310
199,484.758,654.748,499.385,25.389,24.310,52.978
200,467.130,225.875,507.473,27.197,21.869,103.702
201,126.331,364.376,502.184,13.340,12.057,108.228
202,519.033,714.499,509.849,28.016,23.589,152.857
203,445.585,291.041,510.748,25.452,22.290,96.254
204,462.233,405.501,520.704,25.812,22.801,77.848
205,193.903,618.490,515.337,18.482,13.358,32.017
206,311.420,328.301,521.488,21.100,18.792,116.022
207,320.234,881.544,521.291,20.989,19.426,90.208
208,675.723,192.056,528.297,37.392,23.009,143.148
209,524.909,921.133,528.856,27.515,24.290,112.529
210,398.578,577.748,529.595,25.111,20.210,26.148
211,477.902,109.466,533.565,27.082,22.469,78.210
212,257.558,965.310,530.841,18.435,17.788,97.902
213,389.765,689.102,545.894,23.275,21.322,91.888
214,195.862,351.763,542.613,16.147,15.444,168.576
215,423.061,619.787,558.806,25.183,21.390,91.602
216,326.110,154.272,559.200,21.533,19.283,108.266
217,307.503,441.072,561.740,21.356,18.333,83.949
218,414.247,402.579,565.007,24.030,21.949,99.429
219,625.778,233.147,564.229,33.426,23.836,3.842
220,267.351,319.751,565.752,18.831,18.077,84.075
221,617.943,64.223,572.253,30.415,25.868,70.471
222,372.137,361.751,574.267,22.884,20.706,114.079
223,709.019,117.048,580.969,36.204,24.935,33.951
224,367.241,193.860,580.126,25.124,18.611,98.147
225,244.827,24.111,578.932,19.339,16.119,68.464
226,347.654,878.775,588.404,23.884,18.534,87.528
227,300.648,579.746,589.404,21.899,17.480,132.994
228,622.840,470.528,606.174,30.955,25.619,58.624
229,575.833,627.847,603.370,28.416,25.802,151.795
230,323.172,406.528,608.067,22.505,18.284,107.878
231,182.151,542.673,605.529,16.295,14.232,77.433
232,521.971,87.682,613.451,27.937,23.789,110.057
233,224.262,376.331,609.445,17.625,16.201,73.936
234,278.124,682.078,610.311,20.905,16.940,7.521
235,490.633,165.651,618.947,27.551,22.674,74.376
236,423.061,340.209,621.877,29.253,18.414,80.929
237,258.537,951.485,617.953,20.043,16.423,77.793
238,594.440,22.535,630.485,28.166,26.872,86.446
239,392.703,517.663,626.645,24.843,20.126,167.441
240,570.937,903.781,633.975,32.264,22.531,130.570
241,118.496,561.672,630.167,13.356,11.296,71.031
242,239.930,741.665,633.209,18.542,16.476,137.281
243,447.544,612.501,644.298,24.530,23.230,22.513
244,424.040,987.864,644.235,24.744,21.820,33.518
245,239.930,376.458,646.235,19.590,15.594,44.377
246,327.089,712.536,652.745,22.093,18.850,99.084
247,232.096,577.594,651.789,17.456,16.929,115.532
248,565.061,132.499,659.500,29.428,24.448,92.787
249,558.206,433.030,661.516,30.032,23.665,60.543
250,331.006,670.770,662.473,21.837,19.300,95.422
251,374.096,952.889,662.877,24.233,19.655,17.471
252,318.275,91.310,664.203,21.246,19.074,92.365
253,22.524,798.500,657.159,5.987,4.790,18.784
254,378.992,321.657,666.235,22.966,21.011,163.005
255,302.606,169.399,671.511,21.429,17.980,66.222
256,344.716,770.564,671.826,21.522,20.393,6.939
257,408.372,288.319,678.359,25.554,20.347,96.224
258,334.923,55.030,677.286,21.718,19.635,68.423
259,192.924,610.028,677.647,17.356,14.153,24.480
260,352.551,195.039,683.154,23.424,19.163,97.364
261,577.792,893.954,684.471,28.717,25.618,8.722
262,264.413,641.880,688.380,18.757,17.949,152.685
